WKT,name,description
"POLYGON ((-79.493343 40.289884, -79.526162 40.610892, -79.698126 40.722452, -80.103233 40.808375, -80.505644 40.783012, -80.66092 40.381764, -80.502866 40.036804, -79.920475 40.003127, -79.493343 40.289884))",Pittsbugh Metro,
"POLYGON ((-122.763671 45.651585, -122.78463 45.630493, -122.787595 45.620762, -122.782674 45.609923, -122.772974 45.587298, -122.747554 45.555402, -122.726267 45.468245, -122.62945 45.465993, -122.456196 45.457271, -122.424074 45.463237, -122.392155 45.495585, -122.37564 45.510387, -122.373741 45.530609, -122.397643 45.562288, -122.763671 45.651585))",Portland,
"POLYGON ((-90.251391 34.881306, -90.197968 34.871265, -90.110754 34.867602, -90.018997 34.865139, -89.896912 34.869181, -89.829711 34.875749, -89.732642 34.878148, -89.649815 34.923036, -89.647044 34.962284, -89.650354 35.031522, -89.645736 35.129981, -89.711397 35.30261, -89.879284 35.322145, -89.921006 35.32943, -89.979662 35.284076, -90.071695 35.271353, -90.097586 35.226145, -90.105826 35.192422, -90.120248 35.159821, -90.125918 35.11021, -90.144316 35.081301, -90.195429 35.016456, -90.250929 34.98701, -90.22237 34.951874, -90.251391 34.881306))",Memphis,
"POLYGON ((-90.314249 34.893685, -90.004284 34.813758, -89.647044 34.962284, -88.030591 35.016504, -88.092175 36.507784, -89.386928 36.458022, -89.811049 35.667033, -90.262677 35.318146, -90.314249 34.893685))",Western Tennessee,
"POLYGON ((-93.227413 45.027625, -93.275751 45.027543, -93.26881 44.994854, -93.227006 44.994874, -93.227413 45.027625))",Northeast Minneapolis,
"POLYGON ((-93.19955 44.899132, -93.20746 44.927247, -93.328262 44.927456, -93.327781 44.914309, -93.326768 44.890912, -93.27545 44.891143, -93.256225 44.891239, -93.245159 44.896297, -93.19955 44.899132))",Southeast Minneapolis,
"POLYGON ((-93.298521 44.862151, -93.247401 44.861976, -93.246482 44.874265, -93.247089 44.893214, -93.267653 44.890304, -93.29547 44.890386, -93.298521 44.862151))",Richfield,
"POLYGON ((-93.251352 44.826623, -93.244183 44.832157, -93.235408 44.840502, -93.224015 44.85298, -93.216337 44.861431, -93.298521 44.862151, -93.298866 44.840045, -93.292149 44.826234, -93.251352 44.826623))",Bloomington,
"POLYGON ((-87.665306 42.022899, -87.723051 42.023514, -87.779888 42.015866, -87.796311 42.021145, -87.829543 42.023557, -87.859221 41.986361, -87.864852 41.970307, -87.859603 41.948655, -87.850079 41.933612, -87.806446 41.934301, -87.80637 41.910281, -87.886 41.909513, -87.88217 41.870727, -87.804916 41.871381, -87.801991 41.799403, -87.79872 41.713354, -87.774136 41.679337, -87.737985 41.662739, -87.687065 41.616717, -87.635375 41.599248, -87.525455 41.60144, -87.522125 41.689477, -87.524665 41.737319, -87.571253 41.799892, -87.609395 41.844377, -87.605585 41.869059, -87.600641 41.891927, -87.628485 41.930766, -87.637103 41.955884, -87.628821 41.966377, -87.644148 41.972533, -87.652808 41.993082, -87.65764 42.010331, -87.665306 42.022899))",Chicago and Surrounding Suburbs,
"POLYGON ((-87.616638 41.644481, -87.523941 41.64584, -87.523442 41.729013, -87.532481 41.749537, -87.541281 41.755312, -87.539707 41.757053, -87.608937 41.844002, -87.598578 41.891327, -87.630112 41.932991, -87.632663 41.9427, -87.639839 41.953026, -87.64099 41.957358, -87.638227 41.958661, -87.630921 41.962811, -87.630906 41.969153, -87.631941 41.96517, -87.638473 41.966204, -87.642087 41.967986, -87.645858 41.970979, -87.646721 41.97702, -87.650465 41.979372, -87.65089 41.983199, -87.649517 41.985216, -87.654059 41.988308, -87.654496 41.994922, -87.656506 42.003505, -87.655595 42.006644, -87.661857 42.013738, -87.664935 42.022998, -87.677207 42.02314, -87.673301 42.019353, -87.709416 42.019359, -87.709868 41.997007, -87.744325 41.997341, -87.75295 41.997304, -87.757154 41.999288, -87.762116 42.001656, -87.761804 42.008215, -87.767441 42.008232, -87.767625 42.00471, -87.765452 42.003765, -87.765518 42.003684, -87.765638 42.003553, -87.76583 42.003331, -87.769254 42.004984, -87.769991 42.006388, -87.770402 42.006353, -87.773613 42.011985, -87.777047 42.012066, -87.777106 42.015303, -87.778928 42.015438, -87.77933 42.011971, -87.788659 42.011931, -87.782791 42.004967, -87.781959 42.004446, -87.790653 42.000421, -87.791207 42.000992, -87.797099 42.000913, -87.797132 41.999977, -87.799505 42.00001, -87.799681 42.000873, -87.801105 42.000856, -87.801092 42.001539, -87.805302 42.001448, -87.805327 42.00083, -87.806818 42.00094, -87.806223 42.018997, -87.817242 42.018695, -87.821186 42.018588, -87.821279 42.015468, -87.820177 42.015628, -87.81985 42.011431, -87.821304 42.011414, -87.821315 41.997529, -87.82341 41.984494, -87.839942 41.986788, -87.855377 41.989009, -87.855386 41.988191, -87.856919 41.984698, -87.855719 41.981821, -87.861167 41.975844, -87.862377 41.974099, -87.861741 41.973074, -87.860324 41.971897, -87.858596 41.971596, -87.856817 41.972493, -87.854956 41.972434, -87.854181 41.971576, -87.854011 41.970548, -87.854993 41.969225, -87.854932 41.968193, -87.854695 41.967229, -87.855423 41.964731, -87.855707 41.962482, -87.858684 41.957355, -87.857826 41.955271, -87.846577 41.955462, -87.846808 41.951698, -87.853842 41.951647, -87.854694 41.949646, -87.854769 41.948105, -87.852972 41.94239, -87.851998 41.939665, -87.850115 41.937237, -87.816497 41.93809, -87.816468 41.934248, -87.806856 41.934439, -87.805899 41.908911, -87.775457 41.909198, -87.774199 41.866114, -87.740392 41.866038, -87.738162 41.822396, -87.74453 41.821761, -87.74481 41.815963, -87.753048 41.813274, -87.752615 41.800437, -87.801491 41.799785, -87.800886 41.773283, -87.74169 41.77453, -87.740873 41.734229, -87.682487 41.735472, -87.681734 41.713773, -87.691762 41.713441, -87.691632 41.707271, -87.701337 41.7071, -87.701457 41.706295, -87.711207 41.706107, -87.711281 41.711448, -87.712488 41.711519, -87.712537 41.713335, -87.721154 41.713104, -87.720823 41.702446, -87.720202 41.691438, -87.739596 41.691419, -87.739535 41.683331, -87.711776 41.684004, -87.71109 41.680461, -87.70468 41.680546, -87.705054 41.683754, -87.700309 41.684224, -87.6994 41.68786, -87.696132 41.687615, -87.695565 41.684407, -87.685491 41.684492, -87.685742 41.677222, -87.668213 41.677298, -87.668403 41.675953, -87.667111 41.675867, -87.666399 41.677577, -87.661662 41.677581, -87.661157 41.670305, -87.641955 41.670308, -87.641205 41.663138, -87.647119 41.663375, -87.647164 41.657834, -87.643445 41.657717, -87.636793 41.657578, -87.632726 41.657655, -87.629445 41.65948, -87.623621 41.662517, -87.619875 41.661403, -87.619367 41.659138, -87.618133 41.658645, -87.618413 41.654838, -87.62017 41.651066, -87.617375 41.650222, -87.616638 41.644481))",City Of Chicago,
